Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,PPR,PosRank
Anthony Sherman,KAN,RB,30,16,1,0,0,0,0,0,1,2,2,0,9,8,96,12,1,16,23.8,92
Deonte Thompson,2TM,WR,29,13,6,0,0,0,0,0,0,0,,0,30,17,161,9.47,0,16,33.1,149
DJ Chark,JAX,WR,22,11,0,0,0,0,0,0,0,0,,0,32,14,174,12.43,0,15,29.4,152
Brian Hill,ATL,RB,23,10,0,0,0,0,0,0,20,157,7.85,0,2,1,9,9,0,15,15.6,95
Cameron Meredith,NOR,WR,26,6,1,0,0,0,0,0,0,0,,0,10,9,114,12.67,1,15,24.4,151
Taquan Mizzell,CHI,RB,25,9,1,0,0,0,0,0,9,16,1.78,0,10,8,78,9.75,1,15,23.4,93
Nick O'Leary,MIA,TE,26,12,7,0,0,0,0,0,0,0,,0,10,8,86,10.75,1,15,22.6,70
Logan Paulsen,ATL,TE,31,15,10,0,0,0,0,0,0,0,,0,9,9,91,10.11,1,15,24.1,67
Austin Seferian-Jenkins,JAX,TE,26,5,5,0,0,0,0,0,0,0,,0,19,11,90,8.18,1,15,26,68
Scott Simonson,NYG,TE,26,16,4,0,0,0,0,0,0,0,,0,14,9,86,9.56,1,15,23.6,69
Vyncint Smith,HOU,WR,22,7,1,0,0,0,0,0,0,0,,0,10,5,91,18.2,1,15,20.1,153
Dwayne Washington,NOR,RB,24,13,0,0,0,0,0,0,27,154,5.7,0,0,0,0,,0,15,15.4,94
Alex Armah,CAR,RB,24,16,2,0,0,0,0,0,9,15,1.67,2,1,1,5,5,0,14,15,97
Cameron Artis-Payne,CAR,RB,28,9,0,0,0,0,0,0,19,69,3.63,1,4,3,15,5,0,14,17.4,96
Deontay Burnett,NYJ,WR,21,5,1,0,0,0,0,0,0,0,,0,15,10,143,14.3,0,14,24.3,155
Taylor Heinicke,CAR,QB,25,6,1,35,57,320,1,3,5,31,6.2,0,0,0,0,,0,14,13.9,50
Andy Jones,DET,WR,24,8,3,0,0,0,0,0,0,0,,0,24,11,80,7.27,1,14,25,156
Ronald Jones,TAM,RB,21,9,0,0,0,0,0,0,23,44,1.91,1,9,7,33,4.71,0,14,20.7,98
Trey Quinn,WAS,WR,23,3,2,0,0,0,0,0,1,0,0,0,10,9,75,8.33,1,14,22.5,157
Damion Ratley,CLE,WR,23,13,3,0,0,0,0,0,0,0,,0,20,13,144,11.08,0,14,27.4,154
Robert Tonyan,GNB,TE,24,16,1,0,0,0,0,0,0,0,,0,6,4,77,19.25,1,14,17.7,71
Sam Bradford,ARI,QB,31,3,3,50,80,400,2,4,2,7,3.5,0,0,0,0,,0,13,12.7,52
Derek Carrier,OAK,TE,28,16,2,0,0,0,0,0,0,0,,0,12,7,67,9.57,1,13,19.7,74
Seth Devalve,CLE,TE,25,13,4,0,0,0,0,0,0,0,,0,7,5,74,14.8,1,13,18.4,72
Nathan Peterman,BUF,QB,24,4,2,44,81,296,1,7,10,50,5,1,0,0,0,,0,13,12.8,51
Brandon Powell,DET,WR,22,6,1,0,0,0,0,0,1,4,4,0,17,11,129,11.73,0,13,24.3,158
Adam Shaheen,CHI,TE,24,6,4,0,0,0,0,0,0,0,,0,6,5,48,9.6,1,13,17.8,73
Darrel Williams,KAN,RB,23,6,0,0,0,0,0,0,13,44,3.38,0,3,3,27,9,1,13,16.1,99
Brice Butler,2TM,WR,28,8,1,0,0,0,0,0,0,0,,0,10,6,60,10,1,12,18,159
Stevan Ridley,PIT,RB,29,10,0,0,0,0,0,0,29,80,2.76,1,4,3,18,6,0,12,14.8,100
Dalton Schultz,DAL,TE,22,11,7,0,0,0,0,0,0,0,,0,17,12,116,9.67,0,12,23.6,75
A.J. Derby,MIA,TE,27,4,0,0,0,0,0,0,0,0,,0,5,3,48,16,1,11,13.8,77
Mike Glennon,ARI,QB,29,2,0,15,21,174,1,0,0,0,,0,0,0,0,,0,11,11,53
Corey Grant,JAX,RB,27,5,1,0,0,0,0,0,13,40,3.08,0,12,9,67,7.44,0,11,19.7,101
Dwayne Harris,OAK,WR,31,15,1,0,0,0,0,0,2,12,6,0,6,6,40,6.67,0,11,17.2,160
Tommylee Lewis,NOR,WR,26,7,3,0,0,0,0,0,2,10,5,0,3,3,60,20,1,11,14,161
Chris Manhertz,CAR,TE,26,16,4,0,0,0,0,0,0,0,,0,5,2,52,26,1,11,13.2,76
Keith Ford,BUF,RB,24,2,1,0,0,0,0,0,21,79,3.76,0,5,3,21,7,0,10,13,104
John Kelly,LAR,RB,22,4,0,0,0,0,0,0,27,74,2.74,0,3,2,27,13.5,0,10,12.1,103
Niles Paul,JAX,TE,29,6,1,0,0,0,0,0,1,-3,-3,0,13,10,98,9.8,0,10,19.5,80
Eli Rogers,PIT,WR,26,3,3,0,0,0,0,0,1,-4,-4,0,14,12,79,6.58,0,10,21.5,163
Jeremy Sprinkle,WAS,TE,24,16,9,0,0,0,0,0,0,0,,0,9,5,41,8.2,1,10,15.1,78
De'Anthony Thomas,KAN,WR,25,5,0,0,0,0,0,0,1,6,6,0,5,3,29,9.67,1,10,12.5,162
Darren Waller,OAK,TE,26,4,0,0,0,0,0,0,1,21,21,0,6,6,75,12.5,0,10,15.6,79
DeAndre Washington,OAK,RB,25,10,0,0,0,0,0,0,30,115,3.83,0,1,1,9,9,0,10,11.4,102
Charcandrick West,KAN,RB,27,3,0,0,0,0,0,0,2,-1,-0.5,0,3,2,37,18.5,1,10,11.6,105
Jake Butt,DEN,TE,23,3,3,0,0,0,0,0,0,0,,0,13,8,85,10.63,0,9,16.5,82
D'Onta Foreman,HOU,RB,22,1,0,0,0,0,0,0,7,-1,-0.14,0,2,2,28,14,1,9,10.7,108
Devonta Freeman,ATL,RB,26,2,2,0,0,0,0,0,14,68,4.86,0,7,5,23,4.6,0,9,14.1,107
C.J. Ham,MIN,RB,25,15,2,0,0,0,0,0,6,8,1.33,0,15,11,85,7.73,0,9,20.3,106
Dontrell Hilliard,CLE,RB,23,11,0,0,1,0,0,1,0,0,,0,10,9,105,11.67,0,9,17.5,109
Kevin White,CHI,WR,26,9,0,0,0,0,0,0,0,0,,0,8,4,92,23,0,9,13.2,164
Luke Willson,DET,TE,28,14,8,0,0,0,0,0,0,0,,0,19,13,87,6.69,0,9,21.7,81
Cameron Batson,TEN,WR,23,11,2,0,0,0,0,0,1,1,1,0,11,8,82,10.25,0,8,16.3,165
Corey Coleman,NYG,WR,24,8,1,0,0,0,0,0,1,5,5,0,8,5,71,14.2,0,8,12.6,166
Tyler Conklin,MIN,TE,23,16,3,0,0,0,0,0,0,0,,0,7,5,77,15.4,0,8,12.7,84
Matt Lengel,CIN,TE,28,11,2,0,0,0,0,0,0,0,,0,8,3,17,5.67,1,8,10.7,85
Elijhaa Penny,NYG,RB,25,14,3,0,0,0,0,0,7,25,3.57,0,9,8,50,6.25,0,8,15.5,110
Logan Thomas,BUF,TE,27,12,3,1,1,15,0,0,0,0,,0,17,12,77,6.42,0,8,20.3,83
Mark Walton,CIN,RB,21,14,0,0,0,0,0,0,14,34,2.43,0,8,5,41,8.2,0,8,12.5,111
Derek Anderson,BUF,QB,35,2,2,42,70,465,0,4,1,-1,-1,0,0,0,0,,0,7,6.5,55
Kenjon Barner,2TM,RB,28,9,0,0,0,0,0,0,19,71,3.74,0,1,1,3,3,0,7,8.4,112
Blake Bell,JAX,TE,27,10,4,0,0,0,0,0,0,0,,0,11,8,67,8.38,0,7,14.7,89
Teddy Bridgewater,NOR,QB,26,5,1,14,23,118,1,1,11,5,0.45,0,0,0,0,,0,7,7.2,54
Patrick DiMarco,BUF,RB,29,16,5,0,0,0,0,0,1,9,9,0,4,3,62,20.67,0,7,10.1,113
Jermaine Gresham,ARI,TE,30,13,11,0,0,0,0,0,0,0,,0,12,9,94,10.44,0,7,16.4,86
Xavier Grimble,PIT,TE,26,16,2,0,0,0,0,0,0,0,,0,8,6,86,14.33,0,7,12.6,90
Detrez Newsome,LAC,RB,24,9,0,0,0,0,0,0,11,49,4.45,0,2,2,19,9.5,0,7,8.8,114
Joshua Perkins,PHI,TE,25,9,1,0,0,0,0,0,0,0,,0,11,5,67,13.4,0,7,11.7,88
Eric Tomlinson,NYJ,TE,26,15,12,0,0,0,0,0,0,0,,0,14,8,72,9,0,7,15.2,87
Russell Gage,ATL,WR,22,15,0,0,0,0,0,0,0,0,,0,10,6,63,10.5,0,6,12.3,168
David Grinnage,JAX,TE,24,4,2,0,0,0,0,0,0,0,,0,8,6,61,10.17,0,6,12.1,92
Ryan Hewitt,IND,TE,27,12,2,0,0,0,0,0,0,0,,0,2,1,1,1,1,6,7.1,91
JJ Nelson,ARI,WR,26,14,2,0,0,0,0,0,4,0,0,0,19,7,64,9.14,0,6,13.4,167
Bradley Sowell,CHI,RB,29,16,1,0,0,0,0,0,0,0,,0,2,1,2,2,1,6,7.2,115
Derrick Willies,CLE,WR,24,5,0,0,0,0,0,0,0,0,,0,5,3,61,20.33,0,6,9.1,169
Kamar Aiken,PHI,WR,29,5,1,0,0,0,0,0,0,0,,0,7,6,53,8.83,0,5,11.3,171
Antony Auclair,TAM,TE,25,16,10,0,0,0,0,0,0,0,,0,8,7,48,6.86,0,5,11.8,96
Mike Boone,MIN,RB,23,8,0,0,0,0,0,0,11,47,4.27,0,3,2,1,0.5,0,5,6.8,117
Noah Brown,DAL,WR,22,8,2,0,0,0,0,0,0,0,,0,8,5,54,10.8,0,5,10.4,170
Rico Gathers,DAL,TE,24,15,4,0,0,0,0,0,0,0,,0,7,3,45,15,0,5,7.5,99
Shelton Gibson,PHI,WR,23,15,0,0,0,0,0,0,0,0,,0,3,1,48,48,0,5,5.8,173
Jacob Hollister,NWE,TE,25,8,1,0,0,0,0,0,0,0,,0,5,4,52,13,0,5,9.2,93
DeShone Kizer,GNB,QB,22,3,0,20,42,187,0,2,5,39,7.8,0,0,0,0,,0,5,5.4,56
Eric Saubert,ATL,TE,24,16,1,0,0,0,0,0,0,0,,0,9,5,48,9.6,0,5,9.8,97
Durham Smythe,MIA,TE,23,15,2,0,0,0,0,0,0,0,,0,11,6,50,8.33,0,5,11,95
Neal Sterling,NYJ,TE,26,5,4,0,0,0,0,0,0,0,,0,8,6,47,7.83,0,5,10.7,98
Nate Sudfeld,PHI,QB,25,2,0,1,2,22,1,0,2,-2,-1,0,0,0,0,,0,5,4.7,57
Roc Thomas,MIN,RB,23,5,0,0,0,0,0,0,8,30,3.75,0,4,2,21,10.5,0,5,7.1,116
Delanie Walker,TEN,TE,34,1,1,0,0,0,0,0,0,0,,0,7,4,52,13,0,5,9.2,94
Jesus Wilson,TAM,WR,23,5,0,0,0,0,0,0,0,0,,0,5,4,52,13,0,5,9.2,172
Chad Beebe,MIN,WR,24,3,0,0,0,0,0,0,0,0,,0,4,4,39,9.75,0,4,7.9,176
Tommy Bohanon,JAX,RB,28,16,6,0,0,0,0,0,1,0,0,0,9,6,41,6.83,0,4,10.1,119
Ben Braunecker,CHI,TE,24,15,2,0,0,0,0,0,0,0,,0,5,3,42,14,0,4,7.2,100
Jawill Davis,NYG,WR,23,7,0,0,0,0,0,0,0,0,,0,8,4,40,10,0,4,8,174
Tyler Ervin,HOU,RB,25,9,0,0,0,0,0,0,0,0,,0,3,3,35,11.67,0,4,6.5,125
Jordan Franks,CIN,TE,22,6,0,0,0,0,0,0,0,0,,0,3,2,37,18.5,0,4,5.7,103
Rashad Greene,JAX,WR,26,8,1,0,0,0,0,0,0,0,,0,8,6,60,10,0,4,10,175
Tyler Kroft,CIN,TE,26,5,2,0,0,0,0,0,0,0,,0,6,4,36,9,0,4,7.6,105
Marcedes Lewis,GNB,TE,34,16,4,0,0,0,0,0,0,0,,0,4,3,39,13,0,4,6.9,101
T.J. Logan,ARI,RB,24,10,0,0,0,0,0,0,2,2,1,0,7,7,37,5.29,0,4,10.9,121
Tre Madden,SEA,RB,25,14,3,0,0,0,0,0,3,3,1,0,3,2,35,17.5,0,4,5.8,122
Byron Marshall,WAS,RB,24,6,0,0,0,0,0,0,3,9,3,0,6,4,30,7.5,0,4,7.9,120
David Morgan,MIN,TE,25,11,6,0,0,0,0,0,0,0,,0,6,5,36,7.2,0,4,8.6,104
Roosevelt Nix,PIT,RB,26,16,0,0,0,0,0,0,1,4,4,0,6,4,38,9.5,0,4,8.2,118
Samaje Perine,WAS,RB,23,5,0,0,0,0,0,0,8,32,4,0,4,3,5,1.67,0,4,6.7,123
John Phillips,ARI,TE,31,8,4,0,0,0,0,0,0,0,,0,3,3,38,12.67,0,4,6.8,102
Auden Tate,CIN,WR,21,7,0,0,0,0,0,0,0,0,,0,12,4,35,8.75,0,4,7.5,178
Jalen Tolliver,ARI,WR,23,3,1,0,0,0,0,0,0,0,,0,6,3,37,12.33,0,4,6.7,177
David Williams,JAX,RB,24,6,0,0,0,0,0,0,8,36,4.5,0,0,0,0,,0,4,3.6,124
Dwayne Allen,NWE,TE,28,13,8,0,0,0,0,0,0,0,,0,4,3,27,9,0,3,5.7,107
Benny Cunningham,CHI,RB,28,15,0,0,0,0,0,0,11,20,1.82,0,2,1,9,9,0,3,3.9,129
Mike Gillislee,NOR,RB,28,4,0,0,0,0,0,0,16,43,2.69,0,1,1,9,9,0,3,4.2,127
Jeremy Hill,NWE,RB,26,1,0,0,0,0,0,0,4,25,6.25,0,1,1,6,6,0,3,4.1,128
Jeremy Langford,ATL,RB,27,1,0,0,0,0,0,0,9,25,2.78,0,0,0,0,,0,3,2.5,130
Brian Parker,DEN,TE,26,13,1,0,0,0,0,0,0,0,,0,10,5,33,6.6,0,3,8.3,106
Charone Peake,NYJ,WR,26,13,0,0,0,0,0,0,0,0,,0,3,2,25,12.5,0,3,4.5,180
Shaun Wilson,TAM,RB,23,5,0,0,0,0,0,0,6,29,4.83,0,5,3,5,1.67,0,3,6.4,126
Javon Wims,CHI,WR,24,4,0,0,0,0,0,0,0,0,,0,5,4,32,8,0,3,7.2,179
Nick Bellore,DET,RB,29,14,4,0,0,0,0,0,1,0,0,0,4,4,15,3.75,0,2,5.5,141
Travaris Cadet,CAR,RB,29,1,0,0,0,0,0,0,11,17,1.55,0,1,1,5,5,0,2,3.2,132
Matt Cassel,DET,QB,36,2,0,7,17,59,0,1,2,13,6.5,0,0,0,0,,0,2,1.7,58
Orson Charles,CLE,TE,27,13,2,0,0,0,0,0,0,0,,0,5,3,23,7.67,0,2,5.3,109
Derrick Coleman,ARI,RB,28,16,4,0,0,0,0,0,2,3,1.5,0,3,2,17,8.5,0,2,4,134
River Cracraft,DEN,WR,24,8,0,0,0,0,0,0,0,0,,0,2,1,44,44,0,2,3.4,182
Sean Culkin,LAC,TE,25,13,10,0,0,0,0,0,0,0,,0,1,1,24,24,0,2,3.4,108
Justin Davis,LAR,RB,23,11,0,0,0,0,0,0,2,19,9.5,0,0,0,0,,0,2,1.9,135
Gehrig Dieter,KAN,WR,25,4,0,0,0,0,0,0,0,0,,0,3,1,22,22,0,2,3.2,184
David Fluellen,TEN,RB,26,7,0,0,0,0,0,0,4,16,4,0,0,0,0,,0,2,1.6,138
Garrett Gilbert,CAR,QB,27,1,0,2,3,40,0,0,0,0,,0,0,0,0,,0,2,1.6,59
KhaDarel Hodge,LAR,WR,23,14,0,0,0,0,0,0,0,0,,0,3,2,17,8.5,0,2,3.7,190
Justin Hunter,PIT,WR,27,5,0,0,0,0,0,0,0,0,,0,13,3,21,7,0,2,5.1,185
Darius Jackson,2TM,RB,25,4,0,0,0,0,0,0,6,16,2.67,0,1,0,0,,0,2,1.6,139
Rishard Matthews,2TM,WR,29,8,0,0,0,0,0,0,0,0,,0,9,5,24,4.8,0,2,7.4,181
Ray-Ray McCloud,BUF,WR,22,10,1,0,0,0,0,0,2,4,2,0,6,5,36,7.2,0,2,7,186
C.J. Prosise,SEA,RB,24,5,0,0,0,0,0,0,1,-3,-3,0,3,3,22,7.33,0,2,4.9,136
Brian Quick,WAS,WR,29,6,3,0,0,0,0,0,0,0,,0,3,3,18,6,0,2,4.8,189
Keith Smith,OAK,RB,26,16,3,0,0,0,0,0,1,0,0,0,6,5,23,4.6,0,2,7.3,131
Jonathan Stewart,NYG,RB,31,3,0,0,0,0,0,0,6,17,2.83,0,0,0,0,,0,2,1.7,137
Tyrone Swoopes,SEA,TE,24,1,1,0,0,0,0,0,0,0,,0,1,1,23,23,0,2,3.3,110
De'Lance Turner,BAL,RB,23,4,0,0,0,0,0,0,1,4,4,0,2,2,17,8.5,0,2,4.1,133
Malik Turner,SEA,WR,22,6,0,0,0,0,0,0,0,0,,0,3,2,20,10,0,2,4,187
Brandon Wilds,JAX,RB,25,3,0,0,0,0,0,0,6,15,2.5,0,0,0,0,,0,2,1.5,140
Nick Williams,2TM,WR,28,4,0,0,0,0,0,0,0,0,,0,5,2,17,8.5,0,2,3.7,191
Terrance Williams,DAL,WR,29,3,2,0,0,0,0,0,0,0,,0,3,2,18,9,0,2,3.8,188
Brandon Zylstra,MIN,WR,25,16,0,0,0,0,0,0,0,0,,0,2,1,23,23,0,2,3.3,183
Ameer Abdullah,2TM,RB,25,10,0,0,0,0,0,0,1,1,1,0,4,3,28,9.33,0,1,3.9,146
Victor Bolden,2TM,WR,23,6,0,0,0,0,0,0,0,0,,0,4,1,10,10,0,1,2,195
Michael Burton,CHI,RB,26,8,1,0,0,0,0,0,0,0,,0,1,1,6,6,0,1,1.6,151
Damiere Byrd,CAR,WR,25,8,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,1,1.8,198
Jamaal Charles,JAX,RB,32,2,0,0,0,0,0,0,6,7,1.17,0,3,2,7,3.5,0,1,3.4,142
Sammie Coates,HOU,WR,25,12,0,0,0,0,0,0,0,0,,0,2,1,12,12,0,1,2.2,193
Alan Cross,TAM,TE,25,14,3,0,0,0,0,0,0,0,,0,5,2,9,4.5,0,1,2.9,115
Joshua Dobbs,PIT,QB,23,5,0,6,12,43,0,1,4,11,2.75,0,0,0,0,,0,1,0.8,63
Ross Dwelley,SFO,TE,23,11,0,0,0,0,0,0,0,0,,0,2,2,14,7,0,1,3.4,111
Matt Flanagan,WAS,TE,23,3,1,0,0,0,0,0,0,0,,0,1,1,14,14,0,1,2.4,112
Robert Griffin,BAL,QB,28,3,0,2,6,21,0,0,0,0,,0,0,0,0,,0,1,0.8,62
Justin Hardee,NOR,WR,24,16,0,0,0,0,0,0,0,0,,0,1,1,10,10,0,1,2,196
Keon Hatcher,OAK,WR,24,3,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,1,1.8,199
Chad Henne,KAN,QB,33,1,0,2,3,29,0,0,1,3,3,0,0,0,0,,0,1,1.5,60
Robert Kelley,WAS,RB,26,2,0,0,0,0,0,0,4,8,2,0,0,0,0,,0,1,0.8,148
Marcus Kemp,KAN,WR,23,16,0,0,0,0,0,0,0,0,,0,2,1,7,7,0,1,1.7,202
Jeremy Kerley,BUF,WR,30,1,1,0,0,0,0,0,0,0,,0,4,2,7,3.5,0,1,2.7,203
Darvin Kidsy,WAS,WR,23,2,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,1,1.8,200
Allen Lazard,GNB,WR,23,1,0,0,0,0,0,0,0,0,,0,1,1,7,7,0,1,1.7,201
Khari Lee,BUF,TE,26,2,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,1,1.5,117
Josh Malone,CIN,WR,22,9,0,0,0,0,0,0,0,0,,0,5,1,12,12,0,1,2.2,194
J.D. McKissic,SEA,RB,25,5,0,0,0,0,0,0,3,8,2.67,0,1,0,0,,0,1,0.8,149
Jeremy McNichols,2TM,RB,23,2,0,0,0,0,0,0,4,8,2,0,0,0,0,,0,1,0.8,150
Christine Michael,IND,RB,28,1,0,0,0,0,0,0,2,9,4.5,0,0,0,0,,0,1,0.9,147
Johnny Mundt,LAR,TE,24,10,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,1,1.5,118
Jamize Olawale,DAL,RB,29,16,4,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,1,3.3,143
Ricky Ortiz,ATL,RB,24,12,9,0,0,0,0,0,0,0,,0,4,3,11,3.67,0,1,4.1,145
Cam Phillips,BUF,WR,23,2,0,0,0,0,0,0,0,0,,0,1,1,9,9,0,1,1.9,197
Richard Rodgers,PHI,TE,26,7,0,0,0,0,0,0,0,0,,0,1,1,7,7,0,1,1.7,116
Dion Sims,CHI,TE,27,8,4,0,0,0,0,0,0,0,,0,4,2,9,4.5,0,1,2.9,114
Hakeem Valles,DET,TE,26,3,0,0,0,0,0,0,0,0,,0,3,2,11,5.5,0,1,3.1,113
Justin Watson,TAM,WR,23,12,0,0,0,0,0,0,0,0,,0,3,1,5,5,0,1,1.5,204
Derek Watt,LAC,RB,26,16,5,0,0,0,0,0,4,11,2.75,0,1,1,2,2,0,1,2.3,144
Joe Webb,HOU,QB,32,16,0,0,0,0,0,0,0,0,,0,3,2,13,6.5,0,1,3.3,61
Tim White,BAL,WR,24,3,0,0,0,0,0,0,0,0,,0,1,1,14,14,0,1,2.4,192
Jacoby Brissett,IND,QB,26,4,0,2,4,2,0,0,7,-7,-1,0,0,0,0,,0,-1,-0.6,72
Brian Hoyer,NWE,QB,33,5,0,1,2,7,0,0,11,-8,-0.73,0,0,0,0,,0,-1,-0.5,71
J'Mon Moore,GNB,WR,23,12,0,0,0,0,0,0,0,0,,0,3,2,15,7.5,0,-1,1.5,241
Geno Smith,LAC,QB,28,5,0,1,4,8,0,0,8,2,0.25,0,0,0,0,,0,-1,-1.5,73
Rod Streater,CLE,WR,30,3,0,0,0,0,0,0,1,-11,-11,0,0,0,0,,0,-1,-1.1,242
Robert Turbin,IND,RB,29,2,0,0,0,0,0,0,4,10,2.5,0,2,1,3,3,0,-1,0.3,166
Kaelin Clay,NYG,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,-2,-2,245
JJ Jones,2TM,WR,26,4,0,0,0,0,0,0,1,0,0,0,1,1,3,3,0,-2,-0.7,243
Kyle Lauletta,NYG,QB,23,2,0,0,5,0,0,1,1,-2,-2,0,0,0,0,,0,-2,-2.2,74
Riley McCarron,NWE,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,-2,-2,244
Jojo Natson,LAR,,24,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,-2,-2,246
Shane Smith,NYG,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,1
Saeed Blacknall,OAK,,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,226
Daniel Brown,CHI,,26,14,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,126
Deante Burton,2TM,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,227
Jehu Chesson,WAS,WR,25,12,0,0,0,0,0,0,1,-4,-4,0,2,1,7,7,0,,1.3,205
Lavon Coleman,GNB,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,159
Stacy Coley,2TM,,24,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,228
Pharoh Cooper,2TM,,23,7,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,229
Jerome Cunningham,DET,,27,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,131
Darrell Daniels,2TM,,24,11,3,0,0,0,0,0,0,0,,0,2,0,0,,0,,,122
Geremy Davis,LAC,,26,14,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,215
Trevor Davis,GNB,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,232
Dalyn Dawkins,TEN,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,162
Matthew Dayes,SFO,,24,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,155
Garrett Dickerson,NYG,,23,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,132
Quinton Dunbar,WAS,,26,7,6,0,0,0,0,0,0,0,,0,0,0,0,,0,,,230
Steven Dunbar,SFO,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,239
Malachi Dupre,ARI,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,236
Trey Edmunds,PIT,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,163
Alex Ellis,KAN,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,134
Donnie Ernsberger,TAM,,22,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,123
Isaiah Ford,MIA,,22,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,216
Daurice Fountain,IND,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,219
Mose Frazier,CAR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,231
Rico Gafford,OAK,,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,207
C.J. Goodwin,DAL,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,217
Janarion Grant,BAL,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,225
Garrett Griffin,NOR,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,124
Clark Harris,CIN,,34,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,127
Temarrick Hemingway,DEN,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,129
De'Angelo Henderson,NYJ,RB,26,3,0,0,0,0,0,0,2,19,9.5,0,0,0,0,,0,,-0.1,165
Quadree Henderson,NYG,,22,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,208
Hunter Henry,LAC,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,121
Darrius Heyward-Bey,PIT,WR,31,14,2,0,0,0,0,0,1,-7,-7,0,2,1,9,9,0,,1.2,206
Gabe Holmes,ARI,,27,8,4,0,0,0,0,0,0,0,,0,0,0,0,,0,,,130
Johnny Holton,OAK,,27,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,218
Buddy Howell,HOU,,22,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,154
Gregory Howell,HOU,,22,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,158
Chad Kelly,DEN,QB,24,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,,0,,-0.1,69
Ben Koyack,JAX,,25,7,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,135
Chris Lacy,DET,,22,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,209
Lance Lenoir,DAL,,23,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,237
Tony Lippett,NYG,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,233
Sean Mannion,LAR,QB,26,3,0,2,3,23,0,0,7,-9,-1.29,0,0,0,0,,0,,,67
Bradley Marquez,DET,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,234
Freddie Martino,TAM,,27,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,220
A.J. McCarron,OAK,QB,28,2,0,1,3,8,0,0,3,-2,-0.67,0,0,0,0,,0,,0.1,65
Max McCaffrey,SFO,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,210
Tanner McEvoy,MIA,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,212
Jaydon Mickens,JAX,,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,213
Steven Mitchell,HOU,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,223
Dare Ogunbowale,TAM,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,160
Senorise Perry,MIA,,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,164
Thomas Rawls,CIN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,156
